year,age,sex,pop
1960,25,F,5651619
1960,30,F,6203938
1960,35,F,6465724
1960,40,F,6027475
1960,45,F,5700151
1960,50,F,5292271
1960,55,F,4821320
1960,60,F,4013554
1960,65,F,3395273
1960,70,F,2598108
1960,75,F,1876347
1960,80,F,989228
1960,85,F,434227
1960,90,F,110293
1960,95,F,27309
1960,100,F,4407
1970,0,F,8612748
1970,5,F,9874288
1970,10,F,10255726
1970,15,F,9565128
1970,20,F,8603567
1970,25,F,6962465
1970,30,F,5926118
1970,35,F,5707236
1970,40,F,6179554
1970,45,F,6346840
1970,50,F,5808692
1970,55,F,5369003
1970,60,F,4846267
1970,65,F,4186310
1970,70,F,3224592
1970,75,F,2408110
1970,80,F,1498806
1970,85,F,700102
1970,90,F,207375
1970,95,F,40814
1970,100,F,3996
1980,0,F,8032156
1980,5,F,8150446
1980,10,F,8916537
1980,15,F,10206011
1980,20,F,10621793
1980,25,F,9917118
1980,30,F,8957883
1980,35,F,7147012
1980,40,F,5983843
1980,45,F,5687806
1980,50,F,6072310
1980,55,F,6113344
1980,60,F,5443734
1980,65,F,4870903
1980,70,F,4126845
1980,75,F,3137122
1980,80,F,1928991
1980,85,F,1137316
1980,90,F,402777
1980,95,F,90354
1980,100,F,10276
1990,0,F,9398321
1990,5,F,8798684
1990,10,F,8491003
1990,15,F,8722415
1990,20,F,9413108
1990,25,F,10468975
1990,30,F,11017463
1990,35,F,10147751
1990,40,F,9043392
1990,45,F,7086005
1990,50,F,5883207
1990,55,F,5478526
1990,60,F,5701565
1990,65,F,5553424
1990,70,F,4642514
1990,75,F,3727245
1990,80,F,2685961
1990,85,F,1525725
1990,90,F,589709
1990,95,F,171891
1990,100,F,24072
2000,0,F,9563676
2000,5,F,10176500
2000,10,F,10119062
2000,15,F,9710357
2000,20,F,9329933
2000,25,F,9523399
2000,30,F,10096342
2000,35,F,11126992
2000,40,F,11187667
2000,45,F,10213431
2000,50,F,8959431
2000,55,F,6944267
2000,60,F,5643768
2000,65,F,5071324
2000,70,F,4902578
2000,75,F,4325729
2000,80,F,3126458
2000,85,F,1806518
2000,90,F,854111
2000,95,F,233072
2000,100,F,34711
2010,0,F,10208213
2010,5,F,10093069
2010,10,F,10198921
2010,15,F,10799571
2010,20,F,10634567
2010,25,F,10293776
2010,30,F,9925061
2010,35,F,10012876
2010,40,F,10368788
2010,45,F,11174124
2010,50,F,11175887
2010,55,F,10096178
2010,60,F,8678792
2010,65,F,6536938
2010,70,F,5012471
2010,75,F,4093241
2010,80,F,3471048
2010,85,F,2264765
2010,90,F,1042267
2010,95,F,275414
2010,100,F,44592
2020,0,F,9621269
2020,5,F,9798759
2020,10,F,10311974
2020,15,F,10408587
2020,20,F,10936013
2020,25,F,11690875
2020,30,F,11349965
2020,35,F,10756920
2020,40,F,10176017
2020,45,F,10084699
2020,50,F,10258272
2020,55,F,10840205
2020,60,F,10619257
2020,65,F,9353753
2020,70,F,7709344
2020,75,F,5400748
2020,80,F,3655579
2020,85,F,2372445
2020,90,F,1348005
2020,95,F,447633
2020,100,F,76312
2030,0,F,10173267
2030,5,F,10001658
2030,10,F,9721374
2030,15,F,10120139
2030,20,F,11047249
2030,25,F,11281752
2030,30,F,11621513
2030,35,F,12116390
2030,40,F,11565224
2030,45,F,10807932
2030,50,F,10078821
2030,55,F,9817966
2030,60,F,9783780
2030,65,F,10074178
2030,70,F,9499339
2030,75,F,7840600
2030,80,F,5747995
2030,85,F,3253625
2030,90,F,1511063
2030,95,F,515183
2030,100,F,120397
2040,0,F,10204015
2040,5,F,10279475
2040,10,F,10288457
2040,15,F,10355472
2040,20,F,10538409
2040,25,F,11098926
2040,30,F,11820817
2040,35,F,11776343
2040,40,F,11884108
2040,45,F,12191829
2040,50,F,11484743
2040,55,F,10573529
2040,60,F,9686411
2040,65,F,9228366
2040,70,F,8901771
2040,75,F,8667986
2040,80,F,7379986
2040,85,F,5037147
2040,90,F,2613502
2040,95,F,798975
2040,100,F,154615
2050,0,F,10169779
2050,5,F,10229516
2050,10,F,10323951
2050,15,F,10641655
2050,20,F,11124301
2050,25,F,11359572
2050,30,F,11338680
2050,35,F,11614572
2050,40,F,12099953
2050,45,F,11878606
2050,50,F,11826055
2050,55,F,11956357
2050,60,F,11085179
2050,65,F,10010818
2050,70,F,8915293
2050,75,F,8086144
2050,80,F,7118145
2050,85,F,5827486
2050,90,F,3593261
2050,95,F,1354123
2050,100,F,286443
